name,address
blaze,"6546 Pardall Rd. Isla Vista, CA"
cafe equilibrium,"6549 Pardall Rd. Suite B. Isla Vista, CA"
Coffee Collaborative,"6560 Pardall Rd. Suite C, Isla Vista, CA"
805 Kabob,"6578 Trigo Rd. Isla Vista, CA"
el sitio,"6580 Pardall Rd. Isla Vista, CA"
giovanni's,"6583 Pardall Rd. Isla Vista, CA"
Ike’s Place Love & Sandwiches,"6530 Seville Rd. Isla Vista, CA"
Kaptain’s Firehouse BBQ,"6543 Pardall Rd. Isla Vista, CA"
Lovin’ Oven,"6578 Trigo Rd. Isla Vista, CA"
Silvergreens,"900 Embarcadero Del Mar, Isla Vista, CA"
Sorriso Italiano,"901 Embarcadero Del Mar, Isla Vista, CA"
South Coast Deli,"6521 Pardall Rd. Isla Vista, CA"
Sweet Alley,"955 Embarcadero Del Mar, Isla Vista, CA"
The Cantina,"966 Embarcadero Del Mar, Isla Vista, CA"
Wok on the Wild Side,"901 Embarcadero Del Mar #100, Isla Vista, CA"
