name,address
woodstock,"928 EMBARCADERO DEL NORTE , GOLETA"
freebirds,"879 EMBARCADERO DEL NORTE , GOLETA"
starbucks,"888 EMBARCADERO DEL NORTE , GOLETA"
buddha bowls,"901 EMBARCADERO DEL MAR , GOLETA"
super cuca,"6527 MADRID RD, GOLETA"
rockfire grill,"6583 PARDALL RD, GOLETA"
bagel cafe,"6551 TRIGO RD, GOLETA"
naan stop,"966 EMBARCADERO DEL MAR , GOLETA"
sizzling lunch,"6533 TRIGO RD, GOLETA"
habit,"888 EMBARCADERO DEL NORTE , GOLETA"
pho bistro,"903 EMBARCADERO DEL NORTE , GOLETA"
hana kitchen,"6558 PARDALL RD, GOLETA"
deja vu,"966 EMBARCADERO DEL MAR , GOLETA"
domino's pizza,"955 EMBARCADERO DEL MAR , GOLETA"
caje,"948 EMBARCADERO DEL NORTE , ISLA VISTA"
